450.094	0.745001	0.000161		
500.189	0.745001	0.000161		
550.274	0.745001	0.000161		
600.149	0.745163	0.000161		
650.287	0.745163	0.000161		
700.167	0.745646	0.000161		
750.268	0.74629	0.000161		
800.229	0.746934	0.000161		
850.101	0.746773	0.000161		
900.227	0.747418	0.000161		
950.144	0.747418	0.000161		
1000.19	0.747901	0.000161		
1050.22	0.748384	0.000161		
1100.23	0.749673	0.000161		
1150.14	0.749351	0.000161		
1200.3	0.749512	0.000161		
1250.23	0.749673	0.000161		
1300.19	0.750478	0.000161		
1350.25	0.751123	0.000161		
1400.15	0.752572	0.000161		
1450.25	0.752733	0.000161		
1500.21	0.753861	0.000161		
1550.29	0.754666	0.000161		
1600.19	0.755472	0.000161		
1650.08	0.755633	0.000161		
1700.23	0.756438	0.000161		
1750.15	0.756921	0.000161		
1800.23	0.757405	0.000161		
1850.2	0.757405	0.000161		
1900.26	0.757888	0.000161		
1950.22	0.758854	0.000161		
2000.12	0.759016	0.000161		
2050.22	0.760948	0.000161		
2100.17	0.761593	0.000161		
2150.22	0.763043	0.000161		
2200.2	0.763848	0.000161		
2250.3	0.765137	0.000161		
2300.21	0.765942	0.000161		
2350.3	0.767392	0.000161		
2400.23	0.769486	0.000161		
2450.13	0.770613	0.000161		
2500.28	0.77158	0.000161		
2550.17	0.773835	0.000161		
2600.27	0.775768	0.000161		
2650.2	0.776896	0.000161		
2700.31	0.778829	0.000161		
2750.21	0.779312	0.000161		
2800.1	0.780762	0.000161		
2850.22	0.782533	0.000161		
2900.14	0.7835	0.000161		
2950.3	0.784466	0.000161		
3000.19	0.785755	0.000161		
3050.26	0.787205	0.000161		
3100.2	0.788816	0.000161		
3150.31	0.790265	0.000161		
3200.25	0.792037	0.000161		
3250.13	0.793165	0.000161		
3300.2	0.794937	0.000161		
3350.13	0.79687	0.000161		
3400.33	0.798642	0.000161		
3450.17	0.799447	0.000161		
3500.29	0.802507	0.000161		
3550.22	0.804118	0.000161		
3600.14	0.80589	0.000161		
3650.19	0.808145	0.000161		
3700.13	0.809434	0.000161		
3750.22	0.81185	0.000161		
3800.27	0.813622	0.000161		
3850.27	0.814105	0.000161		
3900.21	0.818132	0.000161		
3950.15	0.820065	0.000161		
4000.2	0.819099	0.000161		
4050.17	0.824092	0.000161		
4100.24	0.825864	0.000161		
4150.21	0.828119	0.000161		
4200.25	0.829569	0.000161		
4250.19	0.831502	0.000161		
4300.24	0.834079	0.000161		
4350.19	0.835207	0.000161		
4400.11	0.837462	0.000161		
4450.26	0.839395	0.000161		
4500.17	0.84165	0.000161		
4550.23	0.84455	0.000161		
4600.16	0.846322	0.000161		
4650.29	0.848738	0.000161		
4700.27	0.852282	0.000161		
4750.17	0.854215	0.000161		
4800.23	0.857275	0.000161		
4850.2	0.860175	0.000161		
4900.31	0.863235	0.000161		
4950.21	0.865812	0.000161		
5000.27	0.863396	0.000161		
5050.24	0.871934	0.000161		
5100.13	0.875155	0.000161		
5150.23	0.878216	0.000161		
5200.16	0.88176	0.000161		
5250.31	0.885142	0.000161		
5300.16	0.888203	0.000161		
5350.29	0.891747	0.000161		
5400.19	0.894807	0.000161		
5450.32	0.898673	0.000161		
5500.18	0.902378	0.000161		
5550.11	0.902861	0.000161		
5600.28	0.909466	0.000161		
5650.2	0.913009	0.000161		
5700.28	0.916875	0.000161		
5750.13	0.920902	0.000161		
5800.34	0.925252	0.000161		
5850.25	0.929118	0.000161		
5900.13	0.933467	0.000161		
5950.29	0.937172	0.000161		
6000.18	0.941038	0.000161		
6050.3	0.945387	0.000161		
6100.16	0.950219	0.000161		
6150.28	0.954891	0.000161		
6200.24	0.959079	0.000161		
6250.33	0.961978	0.000161		
6300.2	0.96826	0.000161		
6350.16	0.972932	0.000161		
6400.31	0.978247	0.000161		
6450.21	0.981791	0.000161		
6500.32	0.988234	0.000161		
6550.17	0.993067	0.000161		
6600.32	0.998221	0.000161		
6650.21	1.00338	0.000161		
6700.15	1.00917	0.000161		
6750.27	1.01465	0.000161		
6800.17	1.01997	0.000161		
6850.29	1.02609	0.000161		
6900.2	1.0314	0.000161		
6950.36	1.03785	0.000161		
7000.32	1.04365	0.000161		
7050.15	1.05009	0.000161		
7100.32	1.05686	0.000161		
7150.19	1.06217	0.000161		
7200.28	1.0691	0.000161		
7250.14	1.07586	0.000161		
7300.31	1.08263	0.000161		
7350.24	1.09036	0.000161		
7400.33	1.09648	0.000161		
7450.22	1.10405	0.000161		
7500.14	1.11162	0.000161		
7550.23	1.11887	0.000161		
7600.21	1.12676	0.000161		
7650.28	1.13417	0.000161		
7700.23	1.14126	0.000161		
7750.3	1.15044	0.000161		
7800.25	1.15963	0.000161		
7850.18	1.16865	0.000161		
7900.27	1.17654	0.000161		
7950.24	1.18427	0.000161		
8000.34	1.19184	0.000161		
8050.22	1.20263	0.000161		
8100.28	1.21198	0.000161		
8150.25	1.22229	0.000161		
8200.13	1.23163	0.000161		
8250.26	1.24226	0.000161		
8300.19	1.25225	0.000161		
8350.22	1.26384	0.000161		
8400.19	1.2748	0.000161		
8450.3	1.28479	0.000161		
8500.21	1.2959	0.000161		
8550.34	1.30782	0.000161		
8600.24	1.31926	0.000161		
8650.21	1.3315	0.000161		
8700.28	1.34165	0.000161		
8750.23	1.35727	0.000161		
8800.26	1.37129	0.000161		
8850.24	1.38466	0.000161		
8900.33	1.39722	0.000161		
8950.23	1.41123	0.000161		
9000.13	1.42573	0.000161		
9050.28	1.4412	0.000161		
9100.2	1.45569	0.000161		
9150.24	1.47116	0.000161		
