Frequency (Hz) - Data	Amplitude (V) - Data	
9850.27	1.06153	0.000161
9900.17	1.08907	0.000161
9950.28	1.11452	0.000161
10000.2	1.14368	0.000161
10050.3	1.17412	0.000161
10100.2	1.20118	0.000161
10150.2	1.23195	0.000161
10200.3	1.26481	0.000161
10250.2	1.29848	0.000161
10300.4	1.33198	0.000161
10350.2	1.36774	0.000161
10400.3	1.40495	0.000161
10450.2	1.44329	0.000161
10500.4	1.48356	0.000161
10550.3	1.5256	0.000161
10600.2	1.56587	0.000161
10650.3	1.61065	0.000161
10700.2	1.66011	0.000161
10750.3	1.70924	0.000161
10800.2	1.75772	0.000161
10850.3	1.80943	0.000161
10900.3	1.86452	0.000161
10950.2	1.91735	0.000161
11000.3	1.97599	0.000161
11050.2	2.03655	0.000161
11100.3	2.09535	0.000161
11150.2	2.16268	0.000161
11200.3	2.22776	0.000161
11250.2	2.29525	0.000161
11300.1	2.36162	0.000161
11350.3	2.43765	0.000161
11400.2	2.50176	0.000161
11450.3	2.58633	0.000161
11500.2	2.6448	0.000161
11550.4	2.71761	0.000161
11600.2	2.81007	0.000161
11650.4	2.88046	0.000161
11700.3	2.95005	0.000161
11750.2	3.03349	0.000161
11800.2	3.11999	0.000161
11850.2	3.20327	0.000161
11900.3	3.28236	0.000161
11950.3	3.31313	0.000161
12000.3	3.42879	0.000161
12050.3	3.44151	0.000161
12100.2	3.58165	0.000161
12150.3	3.64737	0.000161
12200.1	3.70182	0.000161
12250.3	3.74531	0.000161
12300.2	3.78123	0.000161
12350.3	3.80507	0.000161
12400.2	3.83745	0.000161
12450.3	3.8236	0.000161
12500.3	3.81957	0.000161
12550.1	3.87949	0.000161
12600.3	3.78381	0.000161
12650.2	3.85163	0.000161
12700.3	3.71986	0.000161
12750.2	3.68088	0.000161
12800.3	3.64109	0.000161
12850.2	3.60678	0.000161
12900.2	3.57779	0.000161
12950.3	3.54509	0.000161
13000.3	3.55523	0.000161
13050.3	3.49306	0.000161
13100.2	3.46293	0.000161
13150.4	3.44199	0.000161
13200.3	3.41187	0.000161
13250.2	3.37821	0.000161
13300.3	3.34309	0.000161
